,Hospital Name,Title 1,Link 1,Population Health 1,Title 2,Link 2,Population Health 2,Title 3,Link 3,Population Health 3
10,ADVENTHEALTH NEW SMYRNA BEACH,AdventHealth Leadership,https://www.adventhealth.com/adventhealth-leadership,none found,Maryann Fields - Health Care Executive - Operational Enhancement ...,https://www.linkedin.com/in/maryann-fields-743922ba,none found,AdventHealth New Smyrna Beach* - 2019 COMMUNITY HEALTH ...,https://www.adventhealth.com/sites/default/files/assets/2019_CHNA_AdventHealth_New_Smyrna_Beach.pdf,none found
11,HALIFAX HEALTH MEDICAL CENTER,Halifax Health Leadership | Halifax Health,https://halifaxhealth.org/about/halifax-health-leadership,none found,Who We Are - Commissioner,https://www.vdh.virginia.gov/commissioner/,"Laurie Forlano, DO, MPH, State Epidemiologist
Suresh Soundararajan, Chief Information Officer
Jeff Stover, Chief of Staff
Vacant, Deputy Commissioner for Population Health and Preparedness",Ann Martorano | Halifax Health,https://halifaxhealth.org/about/halifax-health-leadership/ann-martorano,none found
12,NAPLES COMMUNITY HOSPITAL,Officers and Trustees | NCH Healthcare System,https://nchmd.org/about-us/officers-and-trustees/,"Paul Hiltz, President and CEO
none found",Improving Population Health Through Communitywide Partnerships ...,https://www.commonwealthfund.org/publications/newsletter-article/improving-population-health-through-communitywide-partnerships,"Robert Kahn, M.D., M.P.H., Associate Professor of Pediatrics 
Laura Long, M.D., M.P.H., Vice President of Clinical Quality and Health Management 
Donald Moore, M.H.A., CEO 
Allen Weiss, M.D., President and CEO 
Todd Vedder, M.D., Chair of Pediatrics 
John O'Brien, President and CEO",NCH HEALTHCARE SYSTEM COMMUNITY NEEDS ASSESSMENT,https://nchmd.org/wp-content/uploads/2022/10/2022_10_NCH-Community-Health-needs-assessment.pdf,none found
13,HOLMES REGIONAL MEDICAL CENTER,Executive Leadership - MultiCare,https://www.multicare.org/about/leadership/,"James Lee, Executive Vice President, Population-based Care & Chief Financial Officer",Leadership,https://www.nj.gov/health/about/njdoh/leadership/,none found,Our Leadership | UCSF Benioff Children's Hospitals,https://www.ucsfbenioffchildrens.org/about/our-leadership,"Vanessa Roshell-Stacks, MHA, Vice President, Ancillary and Support Services, UCSF Benioff Children's Hospital Oakland"
14,JACKSON MEMORIAL HOSPITAL,Jackson Memorial Hospital | 24/7 Emergency Services in Miami,https://jacksonhealth.org/locations/jackson-memorial-hospital/,none found,Milbank Memorial Fund | Using Evidence to Improve Population ...,https://www.milbank.org/,none found,Executive Team | Jackson Health System,https://jacksonhealth.org/administrative/executive-team/,"Barbara Fonte, VP Population Health"
15,CITRUS MEMORIAL HOSPITAL,Citrus County Health Department,https://citrus.floridahealth.gov/,none found,Florida Department of Health,https://www.floridahealth.gov/,none found,"Public Health – Seattle & King County - King County, Washington",https://www.kingcounty.gov/en/dept/dph,none found
16,ASCENSION SACRED HEART PENSACOLA,Ascension Sacred Heart Pensacola | Ascension,https://healthcare.ascension.org/locations/florida/flpen/pensacola-ascension-sacred-heart-pensacola,none found,Ascension Florida Leadership | Ascension,https://about.ascension.org/about-us/leadership/florida-leadership,"Unusual behavior notice: Webpage: 
 A timeout occurred Error code 524 Visit cloudflare.com for more information. 2024-07-25 16:42:07 UTC You Browser Working Chicago Cloudflare Working r.jina.ai Host Error What happened? The origin web server timed out responding to this request. What can I do? If you're a visitor of this website: Please try again in a few minutes. If you're the owner of this website: The connection to the origin web server was made, but the origin web server timed out before responding. The likely cause is an overloaded background task, database or application, stressing the resources on your web server. To resolve, please work with your hosting provider or web development team to free up resources for your database or overloaded application. Additional troubleshooting information here. Cloudflare Ray ID: 8a8d9785eba162fd Performance & security by Cloudflare.",Escambia - Santa Rosa Community Health Needs Assessment,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/florida/2018-chna-ascension-sacred-heart-pensacola.pdf,none found
17,ASCENSION SACRED HEART BAY,Ascension Sacred Heart Bay - CHNA Report 2021,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/florida/2021-chna-ascension-sacred-heart-bay.pdf,none found,Ascension Florida Leadership | Ascension,https://about.ascension.org/about-us/leadership/florida-leadership,none found,Ascension Sacred Heart Bay | Ascension,https://healthcare.ascension.org/locations/florida/flpen/panama-city-ascension-sacred-heart-bay,none found
18,PARRISH MEDICAL CENTER,Governance and Leadership | Parrish Healthcare,https://www.parrishhealthcare.com/about-us/governance-and-leadership/,none found,Parrish Medical Center Becomes a Cleveland Clinic Connected ...,https://newsroom.clevelandclinic.org/2024/03/07/parrish-medical-center-becomes-a-cleveland-clinic-connected-member,none found,Site Map | Parrish Healthcare,https://www.parrishhealthcare.com/site-map/,none found
19,NORTH SHORE MEDICAL CENTER,Board of Trustees | Salem Hospital | Mass General Brigham,https://salem.massgeneralbrigham.org/about_us/board_of_trustees,none found,Leadership | Endeavor Health,https://www.endeavorhealth.org/leadership,none found,Senior leadership at Northwell Health,https://www.northwell.edu/about/leadership,none found
20,ORLANDO HEALTH-HEALTH CENTRAL HOSPITAL,Orlando Health Leadership Team,https://www.orlandohealth.com/about-us/leadership,none found,Orlando Health,https://careers.orlandohealth.com/,none found,Brandon Burket,https://www.orlandohealth.com/about-us/leadership/brandon-burket,"Brandon Burket, Vice President, Value-Based Care and Population Health"
21,BAYFRONT HEALTH - ST PETERSBURG,Orlando Health Leadership Team,https://www.orlandohealth.com/about-us/leadership,none found,"Bayfront Health St. Petersburg Names Gilbert COO, AVP",https://www.bayfronthealth.com/content-hub/bayfront-health-st-petersburg-names-gilbert-coo-avp,none found,How is it going at Bayfront Health St. Petersburg? City officials have ...,https://www.tampabay.com/health/how-is-it-going-at-bayfront-health-st-petersburg-city-officials-have-questions-20190429/,none found
22,MOUNT SINAI MEDICAL CENTER,Department of Population Health - Health Policy | Icahn School of ...,https://icahn.mssm.edu/about/departments/population-health,"Annetine C. Gelijns, PhD, Professor and Chairman of the Department of Population Health Science and Policy, Alan J. Moskowitz, MD, Co-Chair of the Department of Population Health Science and Policy and Co-director of the International Center for Health Outcomes and Innovation Research (InCHOIR)",Executive Leadership | Mount Sinai - New York,https://www.mountsinai.org/about/executive-leadership,none found,About - MSHP - Mount Sinai Health Partners,https://mshp.mountsinai.org/web/mshp/about,"- Brent Estes, Senior Vice President, Chief Managed Care Officer and Chief Population Health Officer, MSHS
- Arshad K. Rahim, MD, MBA, FACP, Senior Vice President and Chief Medical Officer, Population Health, Mount Sinai Health System
- Maria Basso Lipani, MSW, LCSW, Vice President for Care Management and Population Health, MSHP
- Xisui Shirley Chen, MD, MS, Medical Director, Clinical Integration, Mount Sinai Health Partners and Assistant Professor of General Internal Medicine, Icahn School of Medicine at Mount Sinai
- Anitha Iyer, PhD, Director of Behavioral Health Population Management, MSHP & Associate Professor of Psychiatry, ISMMS
- Kenneth Shen, MD, MBA, Medical Director, Physician Engagement and Clinical Integration, Mount Sinai Health Partners  
Assistant Professor, Division of Pediatrics"
23,MANATEE MEMORIAL HOSPITAL,Internal Medicine Residency Program | Manatee Memorial Hospital,https://www.manateememorial.com/graduate-medical-education/internal-medicine-residency-program,"Unusual behavior notice: Webpage: 
 The request could not be satisfied. Request blocked. We can't connect to the server for this app or website at this time. There might be too much traffic or a configuration error. Try again later, or contact the app or website owner. If you provide content to customers through CloudFront, you can find steps to troubleshoot and help prevent this error by reviewing the CloudFront documentation..",Sarasota Memorial Administrators,https://www.smh.com/Home/About-Us/Administrators,"James Fiorica, MD, Chief Medical Officer","Welcome to Manatee Memorial Hospital | Bradenton, FL",https://www.manateememorial.com/,"Unusual behavior notice: Webpage: 
 The request could not be satisfied. Request blocked. We can't connect to the server for this app or website at this time. There might be too much traffic or a configuration error. Try again later, or contact the app or website owner. If you provide content to customers through CloudFront, you can find steps to troubleshoot and help prevent this error by reviewing the CloudFront documentation.."
24,MEMORIAL REGIONAL HOSPITAL,Memorial Regional Hospital: A Leader in Care Coordination and ...,https://monumenthealth.net/memorial-regional-hospital-a-leader-in-care-coordination-and-population-health-management/,"Paula Belcher, Director of Population Health Management and Analytics",About,https://www.mhs.net/about,none found,Cone Health Leadership | Cone Health,https://www.conehealth.com/about-us/leadership/,"Danielle Phelps Swartz, Vice President Population Health"
25,BROWARD HEALTH MEDICAL CENTER,Broward Health Welcomes New Leader To Executive Team,https://www.browardhealth.org/news/news-articles/032624-broward-health-welcomes-new-leader-to-executive-team,"Melida Akiti, Corporate Transformation Executive",Gastroenterology Fellowship Program| Broward Health,https://gme.browardhealth.org/program-category/fellowship/program/gastroenterology,none found,Who We Are | Broward Health,https://www.browardhealth.org/who-we-are,none found
26,ASCENSION ST VINCENT'S RIVERSIDE,Ascension St. Vincent's Riverside | Ascension,https://healthcare.ascension.org/locations/florida/fljac/jacksonville-ascension-st-vincents-riverside,none found,Ascension Florida Leadership | Ascension,https://about.ascension.org/about-us/leadership/florida-leadership,none found,Ascension St. Vincent's hospitals in Jacksonville and Clay get new ...,https://www.jacksonville.com/story/news/healthcare/2024/04/18/ascension-st-vincents-hospitals-in-jacksonville-and-clay-get-new-ceos/73368489007/,none found
27,MEASE DUNEDIN HOSPITAL,BayCare Leadership,https://baycare.org/about-us/baycare-leadership,none found,Johns Hopkins Health System Fiscal Year 2019 Community Benefits ...,https://www.hopkinsmedicine.org/-/media/migration/all-childrens-hospital/documents/community/jhach-fy-2019-hospital-community-benefit-narrative_final.pdf,none found,Hospital Leadership at Mease Dunedin Hospital,https://baycare.org/locations/hospitals/mease-dunedin-hospital/about-us/hospital-leadership,none found
28,CLEVELAND CLINIC MARTIN NORTH HOSPITAL,Executive Leadership | Cleveland Clinic,https://my.clevelandclinic.org/about/overview/leadership/executive,none found,Cleveland Clinic Taps Claude Jones to Lead Primary Care Institute,https://newsroom.clevelandclinic.org/2024/06/13/cleveland-clinic-taps-claude-jones-to-lead-primary-care-institute,none found,Community Health Needs Assessment - 2021,https://my.clevelandclinic.org/-/scassets/files/org/florida/locations/chna-2021-reports/martin-health-final-10-5-21.pdf?la=en,none found
29,ADVENTHEALTH DELAND,AdventHealth Leadership,https://www.adventhealth.com/adventhealth-leadership,none found,"Jill Piazza, PT, DPT - VP, Chief Operating Officer - AdventHealth ...",https://www.linkedin.com/in/jill-piazza-pt-dpt-1b74982b,none found,AdventHealth DeLand - 2020-2022 COMMUNITY HEALTH PLAN,https://www.adventhealth.com/sites/default/files/assets/2020-2022-Community-Health-PlanDeland-FINAL.pdf,none found
30,ADVENTHEALTH ZEPHYRHILLS,AdventHealth Leadership,https://www.adventhealth.com/adventhealth-leadership,none found,Jobs | AdventHealth,https://jobs.adventhealth.com/,none found,Who We Are | AdventHealth Zephyrhills,https://www.adventhealth.com/hospital/adventhealth-zephyrhills/who-we-are,none found
31,BAYFRONT HEALTH PUNTA GORDA,Charlotte County - Community Health and Needs Assessment,https://www.floridahealth.gov/provider-and-partner-resources/community-partnerships/floridamapp/state-and-community-reports/charlotte-county/_documents/Charlotte_CHA2.pdf,none found,Bayfront Health St. Petersburg becomes USF Health's newest ...,https://hscweb3.hsc.usf.edu/blog/2015/09/01/bayfront-health-st-petersburg-becomes-usf-healths-newest-affiliate-in-pinellas-county/,none found,Community Health Improvement Plan 2019-2020,https://charlotte.floridahealth.gov/programs-and-services/community-health-planning-and-statistics/community-health-improvement-partnership/_documents/Charlotte_CHIP.pdf,none found
32,JAY HOSPITAL,Cone Health Leadership | Cone Health,https://www.conehealth.com/about-us/leadership/,"Danielle Phelps Swartz, Vice President Population Health",Leadership - ECU Health,https://www.ecuhealth.org/about-us/system-of-care/leadership/,none found,IU Health Leadership | IU Health,https://iuhealth.org/about-our-system/iu-health-leadership,none found
33,HIGHLANDS REGIONAL MEDICAL CENTER,UW School of Medicine and Public Health - School of Medicine and ...,https://www.med.wisc.edu/,none found,HCA Completes $1.5B Mission Health Acquisition | HealthLeaders ...,https://www.healthleadersmedia.com/strategy/hca-completes-15b-mission-health-acquisition,"Ronald A. Paulus, MD, President and CEO",Executive Leadership | Southern California | Dignity Health | Dignity ...,https://www.dignityhealth.org/socal/about-us/executive-leadership,none found
34,LARKIN COMMUNITY HOSPITAL PALM SPRINGS CAMPUS,About | Larkin Health,https://larkinhealth.com/en/about/,none found,Meet our Program Director-Hospice and Palliative Medicine-PSC ...,https://www.graduatemedicaleducation.org/meet-our-program-director-hospice-and-palliative-medicine-psc/,none found,Larkin Health System Integrated Healthcare Delivery System,https://larkinhealth.com/en/,none found
35,ORLANDO HEALTH SOUTH LAKE HOSPITAL,Orlando Health Leadership Team,https://www.orlandohealth.com/about-us/leadership,none found,Orlando Health,https://careers.orlandohealth.com/,none found,Brandon Burket,https://www.orlandohealth.com/about-us/leadership/brandon-burket,"Brandon Burket, Vice President, Value-Based Care and Population Health"
36,WINTER HAVEN HOSPITAL,Connecticut Department of Public Health,https://portal.ct.gov/dph,none found,Fort Yuma Service Unit | Healthcare Facilities,https://www.ihs.gov/phoenix/healthcarefacilities/fortyuma/,none found,BayCare Leadership,https://baycare.org/about-us/baycare-leadership,none found
37,HIALEAH HOSPITAL,Jackson Memorial Hospital | 24/7 Emergency Services in Miami,https://jacksonhealth.org/locations/jackson-memorial-hospital/,none found,Steward Health Care Adds Joe Deschryver As South Regional ...,https://www.hialeahhosp.org/domain-specific/720191/newsroom/2021-06-21/steward-health-care-adds-joe-deschryver-south-regional-president,none found,Michael Bell - Hackensack Meridian Pascack Valley Medical Center,https://www.linkedin.com/in/mjbell,none found
38,TWIN CITIES HOSPITAL,Executive Leadership Team at Allina Health,https://www.allinahealth.org/about-us/leadership,"Hsieng Su MD, Senior Vice President Chief Medical Executive 
Dominica Tallarico, Executive Vice President and Chief Operating Officer 
Elizabeth Truesdell Smith JD MPH, Senior Vice President General Counsel and Secretary to the Allina Health Board of Directors",Executive Leadership - Hennepin Healthcare,https://www.hennepinhealthcare.org/about-us/executive-leadership/,"Wendy Stulac-Motzel, Chief Ambulatory and Population Health Officer",Master of Healthcare Administration (MHA) - School of Public Health,https://www.sph.umn.edu/academics/degrees-programs/mha/,none found
39,ADVENTHEALTH NORTH PINELLAS,AdventHealth Leadership,https://www.adventhealth.com/adventhealth-leadership,none found,2023 Best & Brightest Executive MBA ... - Poets&Quants for Execs,https://poetsandquantsforexecs.com/students/2023-best-brightest-executive-mba-ryan-quattlebaum-university-of-florida-warrington/,none found,AdventHealth | A Leader in Whole-Person Health Care,https://www.adventhealth.com/,none found
40,ADVENTHEALTH WATERMAN,AdventHealth Leadership,https://www.adventhealth.com/adventhealth-leadership,none found,2022-CHNA-Orange-County.pdf,https://orange.floridahealth.gov/programs-and-services/community-health-planning-and-statistics/_documents/2022-CHNA-Orange-County.pdf,none found,AdventHealth | A Leader in Whole-Person Health Care,https://www.adventhealth.com/,none found
41,ADVENTHEALTH OCALA,AdventHealth Leadership,https://www.adventhealth.com/adventhealth-leadership,none found,"Patricia Price DNP, RN, NE-BC - Adventhealth Ocala | LinkedIn",https://www.linkedin.com/in/patricia-price-dnp-rn-ne-bc-b782168a,none found,AdventHealth | A Leader in Whole-Person Health Care,https://www.adventhealth.com/,none found
42,MORTON PLANT NORTH BAY HOSPITAL,BayCare Leadership,https://baycare.org/about-us/baycare-leadership,none found,Johns Hopkins Health System Fiscal Year 2019 Community Benefits ...,https://www.hopkinsmedicine.org/-/media/migration/all-childrens-hospital/documents/community/jhach-fy-2019-hospital-community-benefit-narrative_final.pdf,none found,Community Health Needs Assessment (CHNA) Implementation ...,https://baycare.org/-/media/project/baycare/consumer-portal/about-us/community-health-needs/chna-documents-2023/baycare-chna-implementation-plans-20232025-pasco.pdf,"Unusual behavior notice: Webpage: 
 AssertionFailureError Failed to goto https baycare org - media project baycare consumer portal about us community health needs chna documents 2023 baycare chna implementation plans 20232025 pasco pdf Error net ERR ABORTED at https baycare org - media project baycare consumer portal about us community health needs chna documents 2023 baycare chna implementation plans 20232025 pasco pdf."
43,ST ANTHONYS HOSPITAL,BayCare Leadership,https://baycare.org/about-us/baycare-leadership,none found,About Us at HSHS St. Anthony's Memorial Hospital,https://www.hshs.org/st-anthonys/about-us,none found,Leadership Team - Saint Anthony Hospital - Chicago,https://sahchicago.org/about-us/leadership-team,none found
44,ADVENTHEALTH DAYTONA BEACH,AdventHealth Leadership,https://www.adventhealth.com/adventhealth-leadership,none found,AdventHealth plans $220M expansion of Daytona Beach hospital,https://www.chiefhealthcareexecutive.com/view/adventhealth-plans-220m-expansion-of-daytona-beach-hospital,none found,AdventHealth Daytona Beach* - 2019 COMMUNITY HEALTH ...,https://www.adventhealth.com/sites/default/files/assets/2019_CHNA_AdventHealth_Daytona_Beach.pdf,none found
45,ADVENTHEALTH CARROLLWOOD,AdventHealth Leadership,https://www.adventhealth.com/adventhealth-leadership,none found,Jobs | AdventHealth,https://jobs.adventhealth.com/,none found,Who We Are | AdventHealth Carrollwood,https://www.adventhealth.com/hospital/adventhealth-carrollwood/who-we-are,none found
46,VENICE REGIONAL MEDICAL CENTER - BAYFRONT HEALTH,Johns Hopkins Health System Fiscal Year 2019 Community Benefits ...,https://www.hopkinsmedicine.org/-/media/migration/all-childrens-hospital/documents/community/jhach-fy-2019-hospital-community-benefit-narrative_final.pdf,none found,Kelly Enriquez hired as new Venice Regional Bayfront Health CEO,https://www.heraldtribune.com/story/news/local/venice/2020/10/02/kelly-enriquez-hired-new-venice-regional-bayfront-health-ceo/5894618002/,none found,Two top leaders resign from Bayfront Health St. Petersburg,https://www.tampabay.com/health/medical-news/two-top-leaders-resign-from-bayfront-health-st-petersburg-20190213/,"Unusual behavior notice: Webpage: 
 SecurityCompromiseError Domain www.tampabay.com blocked until Thu Jul 25 2024 17:47:36 GMT+0000 Coordinated Universal Time due to previous abuse found on https://www.tampabay.com/health/how-is-it-going-at-bayfront-health-st-petersburg-city-officials-have-questions-20190429/ DDoS attack suspected Too many requests."
47,BAYFRONT HEALTH BROOKSVILLE,Johns Hopkins Health System Fiscal Year 2019 Community Benefits ...,https://www.hopkinsmedicine.org/-/media/migration/all-childrens-hospital/documents/community/jhach-fy-2019-hospital-community-benefit-narrative_final.pdf,none found,Careers,https://www.bayfronthealth.com/about-us/careers,none found,Bayfront Health St. Petersburg becomes USF Health's newest ...,https://hscweb3.hsc.usf.edu/blog/2015/09/01/bayfront-health-st-petersburg-becomes-usf-healths-newest-affiliate-in-pinellas-county/,none found
48,ADVENTHEALTH FISH MEMORIAL,AdventHealth Leadership,https://www.adventhealth.com/adventhealth-leadership,none found,Lisa Gore - Greater New Orleans Region | Professional Profile ...,https://www.linkedin.com/in/lisa-gore-710021171,none found,2020-2022 Community Health Plan,https://www.adventhealth.com/sites/default/files/assets/2020-2022_Community_Health_Plan_Fish_Memorial_FINAL.pdf,none found
49,HOLY CROSS HOSPITAL,Sitemap,https://www.trinity-health.org/sitemap.aspx,none found,"Holy Cross Health Names Norvell V. Coots, M.D., as President and ...",https://www.holycrosshealth.org/newsroom/press-releases/holy-cross-health-names-norvell-v-coots-m.d-as-president-and-ceo,none found,"Patrick A. Taylor, MD, MBA, leaving as CEO of Holy Cross Hospital ...",https://www.holy-cross.com/newsroom/press-releases/patrick-taylor-md-mba-leaving-ceo-holy-cross-hospital,none found
50,ST JOSEPHS HOSPITAL,"Leadership | St. Joseph's Health Syracuse, New York (NY) Hospitals",https://www.sjhsyr.org/about-us/leadership,"Kristen M Mucitelli, VP Population Health Management","""Economic Development is Population Health"": A New Vision for ...",https://www.ruralhealthinfo.org/rural-monitor/economic-development,none found,Our Leaders | Essentia Health,https://www.essentiahealth.org/about/our-leaders,none found
51,BAYFRONT HEALTH PORT CHARLOTTE,Johns Hopkins Health System Fiscal Year 2019 Community Benefits ...,https://www.hopkinsmedicine.org/-/media/migration/all-childrens-hospital/documents/community/jhach-fy-2019-hospital-community-benefit-narrative_final.pdf,none found,Charlotte County - Community Health and Needs Assessment,https://www.floridahealth.gov/provider-and-partner-resources/community-partnerships/floridamapp/state-and-community-reports/charlotte-county/_documents/Charlotte_CHA2.pdf,none found,College Leadership » College of Public Health & Health Professions ...,https://phhp.ufl.edu/about-phhp/college-leadership/,none found
52,UNIV OF MIAMI HOSPITAL AND CLINICS-SYLVESTER COMPR,University of Miami Health System | South Florida Health Care ...,https://umiamihealth.org/en/,none found,Miller School of Medicine,https://med.miami.edu/,none found,Leadership | University of Miami Health System,https://umiamihealth.org/en/about-uhealth/leadership,none found
53,JFK MEDICAL CENTER,Leadership | Hackensack Meridian Health,https://www.hackensackmeridianhealth.org/en/about-us/leadership,"Patrick Young, President Population Health Solutions",Workforce Development Projects | MCHB,https://mchb.hrsa.gov/programs-impact/focus-areas/mch-workforce-development/funded-project,"Dorothy Cilenti, DrPH, MPH, MSW, Project Director",JFK University Medical Center | Hackensack Meridian Health ...,https://www.hackensackmeridianhealth.org/en/locations/jfk-university-medical-center,none found
54,HEALTHMARK REGIONAL MEDICAL CENTER,Leadership | Valley Health,https://www.valleyhealthlink.com/about-us/leadership/,"Mark Nantz, President and CEO",Leadership | Hackensack Meridian Health,https://www.hackensackmeridianhealth.org/en/about-us/leadership,"Patrick Young, President Population Health Solutions",Hospital Leadership,https://www.orlandohealth.com/about-us/leadership,none found
55,UF HEALTH LEESBURG HOSPITAL,UF Health Leadership - About UF Health - UF Health,https://ufhealth.org/about-uf-health/uf-health-leadership,none found,Special report: COVID-19 - The POST,https://post.health.ufl.edu/2021/02/01/special-report-covid-19/,none found,About UF Health - UF Health,https://ufhealth.org/about-uf-health,none found
56,BROWARD HEALTH NORTH,Who We Are | Broward Health,https://www.browardhealth.org/who-we-are,none found,Gastroenterology Fellowship Program| Broward Health,https://gme.browardhealth.org/program-category/fellowship/program/gastroenterology,none found,Broward Health Welcomes New Leader To Executive Team,https://www.browardhealth.org/news/news-articles/032624-broward-health-welcomes-new-leader-to-executive-team,"Melida Akiti, Corporate Transformation Executive"
57,SARASOTA MEMORIAL HOSPITAL,Sarasota Memorial Administrators,https://www.smh.com/Home/About-Us/Administrators,"James Fiorica, MD, Chief Medical Officer",Keys to Managing Transitions of Care | HealthLeaders Media,https://www.healthleadersmedia.com/strategy/keys-managing-transitions-care,none found,Sarasota Memorial Moves Forward with Plans to Build Hospital in ...,https://www.smh.com/northportupdates/sarasota-memorial-moves-forward-with-plans-to-build-hospital-in-north-port,none found
58,BAPTIST MEDICAL CENTER JACKSONVILLE,"Baptist Health leaders named ones to know | Jacksonville, FL.",https://www.baptistjax.com/about-us/newsroom/news-releases/four-baptist-health-leaders-recognized-as-executives-to-know-by-becker-s-hospital-review,none found,"Leadership | Wolfson Children's Hospital | Jacksonville, Florida",https://www.wolfsonchildrens.com/about/leadership,"Megan Denk, Executive Director","Baptist Health Administration | Baptist Health | Jacksonville, FL",https://www.baptistjax.com/about-us/administration,none found
59,FLAGLER HOSPITAL,St. Johns County Health Needs Assessment | UF Health St. Johns,https://stjohns.ufhealth.org/community-health-improvement/community-benefit-planning/st-johns-county-health-needs-assessment/,none found,Full-Time MBA Healthcare Concentration | UNC Kenan-Flagler ...,https://www.kenan-flagler.unc.edu/programs/mba/full-time-mba/academics/concentrations-electives/healthcare/,none found,Leadership | Florida Department of Health,https://www.floridahealth.gov/about/ssg/leadership/index.html,none found
