,Hospital Name,Title 1,Link 1,Population Health 1,Title 2,Link 2,Population Health 2,Title 3,Link 3,Population Health 3
31,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,HonorHealth leadership | HonorHealth,https://www.honorhealth.com/company/leadership,"unusual behavior notice 
",John Pope on LinkedIn: Happy Nurses Week to all nurses!! Here is a ...,https://www.linkedin.com/posts/john-pope-30ba4071_happy-nurses-week-to-all-nurses-here-is-activity-7062146454554869761-yZYy?trk=public_profile_like_view,"none found 
",2021 COMMUNITY HEALTH NEEDS ASSESSMENT,https://www.honorhealth.com/sites/default/files/2022-02/2021-CHNA-Report-HonorHealth-SSMC.pdf,"none found 
"
32,BANNER BAYWOOD MEDICAL CENTER,Banner Health 2022 CHNA - Banner Baywood Medical Center,https://www.bannerhealth.com/-/media/files/project/bh/chna-reports/2022-new/arizona/banner-baywood-medical-center-mesa.ashx,"none found 
",The Leadership Council | Center | AHA,https://www.aha.org/center/leadership-council,"unusual behavior notice 
",Executive Leadership,https://www.bannerhealth.com/about/leadership/executive,"none found 
"
33,BANNER THUNDERBIRD MEDICAL CENTER,Banner Thunderbird Medical Center in Glendale | Thunderbird & 55th,https://www.bannerhealth.com/locations/glendale/banner-thunderbird-medical-center,"unusual behavior notice 
",Dr. Matthew Wilks Named Chief Medical Officer at UNM Sandoval ...,https://hsc.unm.edu/news/2021/03/matthew-wilks-chief-medical-officer.html,"College of Population Health 
",Executive Leadership,https://www.bannerhealth.com/about/leadership/executive,"none found 
"
34,HONORHEALTH DEER VALLEY MEDICAL CENTER,HonorHealth leadership | HonorHealth,https://www.honorhealth.com/company/leadership,"unusual behavior notice 
",HonorHealth Careers,https://jobs.honorhealth.com/,"unusual behavior notice 
",Contact us - Main contact numbers - HonorHealth,https://www.honorhealth.com/contact-us,"none found 
"
35,BANNER DEL E. WEBB MEDICAL CENTER,Banner Health 2022 CHNA - Banner Del E. Webb Medical Center,https://www.bannerhealth.com/-/media/files/project/bh/chna-reports/2022/arizona/banner-del-e-webb-medical-center-sun-city-west.ashx,"none found 
",Michael Kupferman on LinkedIn: #bannerstrong ...,https://www.linkedin.com/posts/mekupferman_bannerstrong-nationaldoctorsday-leadership-activity-7047316682528227330-ZXLE,"none found 
",Executive Leadership,https://www.bannerhealth.com/about/leadership/executive,"none found 
"
36,ABRAZO ARROWHEAD CAMPUS,Leadership Team | Abrazo Health,https://www.abrazohealth.com/about/leadership-team,"none found 
","Group Chief Nursing Officer, Arizona - Abrazo Arrowhead Campus ...",https://jobs.tenethealth.com/job/glendale/group-chief-nursing-officer-arizona-abrazo-arrowhead-campus-phoenix-arizona/1127/67210360144,"unusual behavior notice 
",Abrazo Health Residency Programs,https://www.abrazohealth.com/health-professionals/abrazo-health-residency-programs,"none found 
"
37,WESTERN ARIZONA REGIONAL MEDICAL CENTER,Western Region Public Health Training Center: Home,https://wrphtc.arizona.edu/,"none found 
",Our Leadership - Yuma Regional Medical Center,https://www.yumaregional.org/about-us/our-leadership/,"Dr. Robert “Bob” Trenschel, President & Chief Executive Officer 
",Yuma Regional Medical Center | Arizona Western College,https://www.azwestern.edu/taxonomy/term/524,"none found 
"
38,MAYO CLINIC HOSPITAL,About Us - Mayo Clinic,https://www.mayoclinic.org/about-mayo-clinic,"unusual behavior notice 
",Meet our administrative leaders - Mayo Clinic Health System,https://www.mayoclinichealthsystem.org/about-us/leadership,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).,Mayo Clinic Leadership - About Us - Mayo Clinic,https://www.mayoclinic.org/about-mayo-clinic/governance/leadership,"none found 
"
39,BANNER HEART HOSPITAL,Executive Leadership,https://www.bannerhealth.com/about/leadership/executive,"none found 
",The Leadership Council | Center | AHA,https://www.aha.org/center/leadership-council,"none found 
","Michael Kupferman, MD, MBA",https://www.bannerhealth.com/about/leadership/other-senior-leadership/michael-kupferman,"Michael Kupferman MD MBA, senior vice president of physician enterprise and president of Banner - University Medicine Division 
"
40,ARIZONA SPINE AND JOINT HOSPITAL,Arizona Specialty Hospital Arizona Spine and Joint Hospital East ...,https://www.dignityhealthevrehabchandler.com/docs/librariesprovider18/default-document-library/final-dhjv_chis-2022.pdf,"none found 
",Sitemap,https://www.trinity-health.org/sitemap.aspx,"none found 
",Maryann Fields - Health Care Executive - Operational Enhancement ...,https://www.linkedin.com/in/maryann-fields-743922ba,"none found 
"
41,"CORE INSTITUTE SPECIALTY HOSPITAL, THE",The CORE Institute Hospital,https://thecoreinstitutehospital.com/,"none found 
",Duke Department of Population Health Sciences,https://populationhealth.duke.edu/,"none found 
",News Archives - The CORE Institute Hospital,https://thecoreinstitutehospital.com/category/news/,"unusual behavior notice 
"
42,ABRAZO WEST CAMPUS,Leadership Team | Abrazo Health,https://www.abrazohealth.com/about/leadership-team,"none found 
",Leadership - Olathe Health,https://www.olathehealth.org/patients-and-visitors/about-us/leadership/,"none found 
",Abrazo Health Residency Programs,https://www.abrazohealth.com/health-professionals/abrazo-health-residency-programs,"none found 
"
43,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,Banner University Medicine Begins New Era in Academic Medicine ...,https://phoenixmed.arizona.edu/about/news/banner-university-medicine-begins-new-era-academic-medicine,"unusual behavior notice 
",Morehouse School of Medicine - MSM - Atlanta,https://www.msm.edu/,"unusual behavior notice 
",Family Medicine Residency – Phoenix | The University of Arizona ...,https://phoenixmed.arizona.edu/family-medicine-residency/who-we-are/faculty,"Sarah Thomas, MD, Clinician Educator 
"
44,ARIZONA SPECIALTY HOSPITAL,Executive Leadership | Arizona Hospitals | Dignity Health | Dignity ...,https://www.dignityhealth.org/arizona/about-us/executive-leadership,"none found 
",Rural Health Care Leadership Conference | AHA | AHA Rural ...,https://ruralconference.aha.org/,"none found 
",UnityPoint Health Leadership,https://www.unitypoint.org/about-unitypoint-health/our-organization/leadership,"Scott Kizer, President & CEO 
"
45,WHITERIVER PHS INDIAN HOSPITAL,Whiteriver Indian Hospital | Healthcare Facilities,https://www.ihs.gov/phoenix/healthcarefacilities/whiteriver/,"none found 
","Alumni Spotlight: LCDR Tabitha Dillinger, MS Pharmacy Leadership ...",https://online.uc.edu/blog/alumni-spotlight-lcdr-tabitha-dillinger-ms-pharmacy-leadership-graduate/,"unusual behavior notice 
",IHS PGY-1 Pharmacy Residency Programs | Residency Program,https://www.ihs.gov/pharmacy/resident/residencies/,"none found 
"
46,ORO VALLEY HOSPITAL,"Health | Pima County, AZ",https://www.pima.gov/2031/Health,"none found 
",Our Leadership – MHC Healthcare,https://mhchealthcare.org/our-leadership/,"Dr. Joshua Carzoli, Chief Executive Officer 
",Morrison Healthcare - Food Service Companies - Hospital Food,https://www.morrisonhealthcare.com/,"Population Health – Making healthcare systems more resilient. 
, Population Health, Job Title: Healthcare Solutions 
"
47,BANNER ESTRELLA MEDICAL CENTER,2019 Community Health Needs Assessment,https://www.bannerhealth.com/-/media/files/project/bh/chna-reports/2019/arizona/banner-estrella_-2019-chna-report.ashx,"none found 
",Telemedicine and Population Health | Philips,https://www.usa.philips.com/c-dam/b2bhc/us/events/ata2015/HealthLeaders_Telemedicine_and_Pop_Health_OCT_2014.pdf,"none found 
",Banner Health 2022 CHNA - Banner Estrella Medical Center,https://www.bannerhealth.com/-/media/files/project/bh/chna-reports/2022/arizona/banner-estrella-medical-center-phoenix.ashx,"none found 
"
48,VALLEY VIEW MEDICAL CENTER,"Valley View Hospital | Glenwood Springs, Colorado",https://www.vvh.org/,"unusual behavior notice 
",Leadership | Valley Health,https://www.valleyhealthlink.com/about-us/leadership/,"Mark Nantz, President and CEO 
",Valley View Hospital 2021 Community Health Needs Assessment,https://www.vvh.org/wp-content/uploads/2023/12/2022-VVH-CHNA-Implementation-Plan.pdf,"none found 
"
49,MERCY GILBERT MEDICAL CENTER,Mercy Gilbert Medical Center Community Health Implementation ...,https://www.dignityhealth.org/content/dam/dignity-health/pdfs/arizona/mgmc-implementation-strategy7-17-19.pdf,"none found 
",MercyOne Sitemap,https://www.mercyone.org/sitemap.aspx,"Derek Novak is one of Becker’s Hospital Review’s population health leaders to know. 
",Executive Leadership | Mercy Gilbert Medical Center | Dignity Health ...,https://www.dignityhealth.org/arizona/locations/mercygilbert/about-us/executive-leadership,"none found 
"
50,"MOUNTAIN VISTA MEDICAL CENTER, LP",Mountain Vista Medical Center CEO And Leadership: Executives ...,https://www.zippia.com/mountain-vista-medical-center-careers-32025/executives/,"none found 
","Beth Mack, Ph.D. - Program Manager II - Veranex | LinkedIn",https://www.linkedin.com/in/bethmackphd,"unusual behavior notice 
",Steward Hospitals: Steward Corporate,https://www.steward.org/network/our-hospitals,"unusual behavior notice 
"
51,BANNER GATEWAY MEDICAL CENTER,2019 Community Health Needs Assessment,https://www.bannerhealth.com/-/media/files/project/bh/chna-reports/2019/arizona/banner-gateway_-2019-chna-report.ashx,"none found 
",The Leadership Council | Center | AHA,https://www.aha.org/center/leadership-council,"none found 
",Banner Health 2022 CHNA - Banner Desert Medical Center,https://www.bannerhealth.com/-/media/files/project/bh/chna-reports/2022/arizona/banner-desert-medical-center-and-banner-childrens-at-desert-mesa.ashx,"none found 
"
52,HONORHEALTH SCOTTSDALE THOMPSON PEAK MED CTR,HonorHealth leadership | HonorHealth,https://www.honorhealth.com/company/leadership,"unusual behavior notice 
",HonorHealth Careers,https://jobs.honorhealth.com/,"unusual behavior notice 
",HonorHealth Scottsdale Osborn Medical Center,https://www.honorhealth.com/locations/hospitals/scottsdale-osborn-medical-center,"none found 
"
53,BANNER IRONWOOD MEDICAL CENTER,2019 Community Health Needs Assessment,https://www.bannerhealth.com/-/media/files/project/bh/chna-reports/2019/arizona/banner-gateway_-2019-chna-report.ashx,"none found 
",NOW Online Summits | HealthLeaders Media,https://www.healthleadersmedia.com/events/virtuals?year_type=past,"none found 
",Banner Health 2023 CHNA - Banner Ironwood Medical Center,https://www.bannerhealth.com/-/media/files/project/bh/chna-reports/2023/banner-ironwood-medical-center-queen-creek.ashx,"none found 
"
54,O.A.S.I.S. HOSPITAL,OASIS Hospital,https://oasishospital.com/wp-content/uploads/2022/07/Dignity-Oasis-CHNA_Report-2019.pdf,"none found 
",ACO integrates decision support with its EHR to improve pop health ...,https://www.healthcareitnews.com/news/aco-integrates-decision-support-its-ehr-improve-pop-health-efforts,"none found 
",O:A:S:I:S Hospital,https://oasishospital.com/wp-content/uploads/2021/09/2016-2018-CHIS-OASIS.pdf,"none found 
"
55,BANNER GOLDFIELD MEDICAL CENTER,2019 Community Health Needs Assessment,https://www.bannerhealth.com/-/media/files/project/bh/chna-reports/2020/bgfmc-2020-chna-report.ashx,"none found 
",Title: Banner Health Infection Prevention Plan,https://documents.bannerhealth.com/-/media/files/project/documentportal/medical-staff/banner-health-infection-prevention-plan-update.ashx?la=en,"none found 
",Banner Health 2023 CHNA - Banner Goldfield Medical Center,https://www.bannerhealth.com/-/media/files/project/bh/chna-reports/2023/banner-goldfield-medical-center-apache-junction.ashx,"unusual behavior notice 
"
56,DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL,Arizona General Hospital Laveen,https://www.dignityhealth.org/content/dam/dignity-health/pdfs/arizona/chna-agh-laveen-2019.pdf,"none found 
","Dignity Health - Arizona General Hospital Mesa - Mesa, AZ | Dignity ...",https://locations.dignityhealth.org/dignity-health-arizona-general-hospital-mesa-mesa-az,"none found 
",Arizona General Hospital | Arizona | Dignity Health | Dignity Health,https://www.dignityhealth.org/arizona/locations/arizonageneral,"none found 
"
57,SANTA CRUZ VALLEY REGIONAL HOSPITAL,"Green Valley hospital gets new name, leadership and chance to ...",https://tucson.com/business/green-valley-hospital-gets-new-name-leadership-and-chance-to-start-again/article_d10e7fb3-07cf-5c7f-965f-71366c01fd65.html,"unusual behavior notice 
",Arizona hospital preps for mass layoff,https://www.beckershospitalreview.com/finance/arizona-hospital-preps-for-mass-layoff.html,"none found 
",Executive Leadership | Southern California | Dignity Health | Dignity ...,https://www.dignityhealth.org/socal/about-us/executive-leadership,"none found 
"
58,WESTERN REGIONAL MEDICAL CENTER,Hospital Leadership,https://www.orlandohealth.com/about-us/leadership,"none found 
",Phyllis Sherard Selected at One of 130 Women Hospital and Health ...,https://www.cheyenneregional.org/phyllis-sherard-selected-at-one-of-130-women-hospital-and-health-system-leaders-to-know/,"Phyllis Sherard, Ph.D., Chief Strategy Officer and Vice President of Population Health 
",Our Leaders | Essentia Health,https://www.essentiahealth.org/about/our-leaders,"Cathy Cantor MD, Chief Population Health Officer 
"
59,DIGNITY HEALTH ARIZONA GENERAL HOSPITAL,Arizona General Hospital Laveen,https://www.dignityhealth.org/content/dam/dignity-health/pdfs/arizona/chna-agh-laveen-2019.pdf,"none found 
","Dignity Health - Arizona General Hospital Mesa - Mesa, AZ | Dignity ...",https://locations.dignityhealth.org/dignity-health-arizona-general-hospital-mesa-mesa-az,"none found 
",Arizona General Hospital | Arizona | Dignity Health | Dignity Health,https://www.dignityhealth.org/arizona/locations/arizonageneral,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).
